 ,,,
,,,
№,Описание,ОР,Статус
,,Продукты в корзину НЕ добавлены (order_model),FAILED
К14,Ошибка обработки запроса с пустым телом запроса для существ. корзины,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К15,Ошибка обработки запроса без масива [ ] в теле запроса для существ. корзины,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К16,Ошибка добавления продукта в существ. корзину с отрицательным id (id: -1) ,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
К17,Ошибка добавления продукта в существ. корзину с дробным значением id (id: 2.5) ,Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в корзину НЕ добавлены (order_model),PASSED
," Получить список продуктов, которые добавили в корзину GET /api/v1/orders/id",,
К18,Получение списка продуктов существующей корзины (напр. id 1) ,Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Функция добавления доступна круглосуточно,PASSED
,,Список продуктов получен,PASSED
К19,Ошибка получения списка продуктов НЕсуществуещей корзины (напр: id 50),Код и статус ответа 404 Not found,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Функция добавления доступна круглосуточно,PASSED
,,Список продуктов НЕ получен,PASSED
,Удалить корзину DELETE /api/v1/orders/:id,,
К20,"Успешное удаление существующей корзины 
(напр id 1)",Код и статус ответа 200 ОК,FAILED
,,Функция добавления доступна круглосуточно,SKIPPED
,,Корзина удалена,FAILED
,,Ошибок в структуре ответа нет,PASSED
К21,Ошибка повторного удаления уже удаленной корзины (id 1),Код и статус ответа 404 Not found,SKIPPED
,,Ошибок в структуре ответа нет,SKIPPED
,,Корзина НЕ удалена повторно,SKIPPED
К22,Ошибка удаления несущуствующей корзины (id 50),Код и статус ответа 404 Not found,SKIPPED
,,Ошибок в структуре ответа нет,SKIPPED
,,Корзина НЕ удалена ,SKIPPED
,НАБОРЫ,,
,Возможность добавлять продукты в набор POST /api/v1/kits/{id}/products,,
Н1,"Успешное добавление продукта в существующий набор из kit_model {id:3}
(productsList id 2, quantity 1)",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукт добавлен в набор (kit_model),PASSED
Н2,"Количество продуктов суммируется при повторном добавлении продукта с тем же id в тот же существующий набор {id:3}
(productsList id 2, quantity 1)",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукт добавлен в набор,PASSED
,,Количество продуктов суммировалось (kit_model),PASSED
Н3,"Количество продуктов в существующем наборе {id:5} суммируется при добавлении продукта с тем же id ДВАЖДЫ в ОДНОМ запросе 
(productsList id 3, quantity 1 и id 3, quantity 5)",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукт добавлен в набор,FAILED
,,Количество продуктов суммировалось (kit_model),FAILED
Н4,Нулевое количество продукта (quantity: null) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н5,"Продукты НЕ добавляются в существующий набор {id:5}, если ввести данные с НЕсуществующим id продукта в kit_model  (id: 120)",Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н6,"Продукты НЕ добавляются в существующий набор {id:5} с недоступым количеством сущ. продукта на складах (id 20, quantity: 150)",Код и статус ответа 409 Conflict,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н7,Десятичное количество продукта (quantity: 2.5) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н8,Минусовое количество продукта (quantity: -1) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н9,Слишком длинное цифровое значение в количестве продукта (напр. quantity: 10000000000) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н10,Успешное добавление продукта в существующий набор {id:2} для ОБЩЕГО количества продуктов 29 штук ,Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукт добавлен в набор (kit_model),PASSED
Н11,Успешное добавление продуктов в существующий набор {id:2} для ОБЩЕГО количества продуктов 30  штук ,Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукт добавлен в набор (kit_model),PASSED
Н12,Ошибка добавления продуктов в существующий набор {id:2} для ОБЩЕГО количества продуктов 31 штука,Код и статус ответа 400 Bad Request,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н13,Ошибка добавления продуктов в существующий набор {id:2} для ОБЩЕГО количества продуктов 32 штуки,Код и статус ответа 400 Bad Request,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н14,Ошибка добавления дополнительных продуктов в существующий набор с 39 товарами {id:1} ,Код и статус ответа 400 Bad Request,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н15,"Продукты НЕ добавляются в НЕсуществеющий набор {id:9}, если ввести данные с существующим id продукта (id:3)",Код и статус ответа 404 Not found,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н16,Ошибка обработки запроса с пустым телом для сущ. набора {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н17,Ошибка обработки запроса без масива [ ] в теле запроса для сущ. набора {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н18,Ошибка обработки запроса с без строки количества в теле запроса для сущ. набора {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н19,Ошибка обработки запроса с без строки id товара в теле запроса для сущ. набора {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,FAILED
,,Продукты в набор НЕ добавлены (kit_model),FAILED
Н20,Нулевой id продукта (id:null quantity: 1) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н21,Дробное значение в id продукта (id:2.5 quantity: 1) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
Н22,Минусовое значение в id продукта (id: -1 quantity: 1) НЕ добавляется в существующий набор {id:5},Код и статус ответа 400 Bad Request,FAILED
,,Ошибок в структуре ответа нет,PASSED
,,Продукты в набор НЕ добавлены (kit_model),PASSED
,КУРЬЕРСКАЯ ДОСТАВКА,,
,"Доставка: ""Привезём быстро""  POST /fast-delivery/v3.1.1/calculate-delivery.xml",,
,hostDeliveryCost - 23 руб.,,
Д1,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 0
productsWeight - 1.5
deliveryTime - 08",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
,,Логика ,FAILED
Д2,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 4
productsWeight - 0
deliveryTime - 14",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
,,Логика ,FAILED
Д3,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 4
productsWeight - 0.1
deliveryTime - 07",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д4,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 1
productsWeight - 1.5
deliveryTime - 14",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д5,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 7
productsWeight - 2.4
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д6,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 6
productsWeight - 2.5
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д7,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 6
productsWeight - 2.4
deliveryTime - 21",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 23 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
,hostDeliveryCost - 43 руб.,,
Д8,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 8
productsWeight - 2.4
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д9,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 9
productsWeight - 2.6
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д10,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 11
productsWeight - 2.7
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д11,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 13
productsWeight - 4.5
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д12,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 14
productsWeight - 5.9
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д13,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 0.1
productsWeight - 6
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
Д14,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 0.1
productsWeight - 5.9
deliveryTime - 21",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 0 руб.,PASSED
,clientDeliveryCost - 99 руб | hostDeliveryCost - 43 руб,,
Д15,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 15
productsWeight - 4
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
Д16,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 16
productsWeight - 4
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
Д17,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 13
productsWeight - 6.1
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
Д18,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 13
productsWeight - 6.2
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
Д19,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 50
productsWeight - 4
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
Д20,"Узнать стоимость доставки ""Привезем быстро"" и ее наличие при:
productsCount - 13
productsWeight - 25
deliveryTime - 20",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,PASSED
,,Наличие доставки TRUE,PASSED
,,hostDeliveryCost - 43 руб.,PASSED
,,clientDeliveryCost - 99 руб.,PASSED
,НЕГАТИВНЫЕ ПРОВЕРКИ / ДОСТАВКА,,
НД1,"Проверить, что доставка ""Привезем быстро""  недоступна в нерабочее время 22-06
productsCount - 4
productsWeight - 1.5
deliveryTime - 22",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,FAILED
,,Наличие доставки FALSE,FAILED
НД2,"Проверить, что доставка ""Привезем быстро""  недоступна в нерабочее время 22-06
productsCount - 4
productsWeight - 1.5
deliveryTime - 23",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,FAILED
,,Наличие доставки FALSE,FAILED
НД3,"Проверить, что доставка ""Привезем быстро""  недоступна в нерабочее время 22-06
productsCount - 4
productsWeight - 1.5
deliveryTime - 02",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,FAILED
,,Наличие доставки FALSE,FAILED
НД4,"Проверить, что доставка ""Привезем быстро""  недоступна в нерабочее время 22-06
productsCount - 4
productsWeight - 1.5
deliveryTime - 05",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,FAILED
,,Наличие доставки FALSE,FAILED
НД5,"Проверить, что доставка ""Привезем быстро""  недоступна в нерабочее время 22-06
productsCount - 4
productsWeight - 1.5
deliveryTime - 06",Код и статус ответа 200 ОК,PASSED
,,Ошибок в структуре ответа нет,FAILED
,,Наличие доставки FALSE,FAILED
НД6,"Проверить появление ошибки при некорректном значении: отриц. число

productsCount - ""-1""
productsWeight - 1.5
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД7,"Проверить появление ошибки при некорректном значении: отриц. число

productsCount - 4
productsWeight -  ""-1""
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД8,"Проверить появление ошибки при некорректном значении: отриц. число

productsCount - 1
productsWeight -  1
deliveryTime -  (-20)",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД9,"Проверить появление ошибки при некорректном значении: десятичное число

productsCount - 1
productsWeight -  1
deliveryTime -  20.5",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД10,"Проверить появление ошибки при некорректном значении: десятичное число

productsCount - 1.5
productsWeight - 1
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД11,"Проверить появление ошибки при пустом значении запроса:

productsCount - (  )
productsWeight - 1.5
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД12,"Проверить появление ошибки при пустом значении запроса:

productsCount - 4
productsWeight - (  )
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД13,"Проверить появление ошибки при пустом значении запроса:

productsCount - 4
productsWeight - 1.5
deliveryTime - (  )",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД14,"Проверить появление ошибки 400 при отсутствие тегов количества продуктов:

productsWeight - 1.5
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД15,"Проверить появление ошибки 400 при отсутствие тегов веса продуктов:

productsCount - 4
deliveryTime - 20",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД16,"Проверить появление ошибки 400 при отсутствие тегов времени доставки

productsCount - 4
productsWeight - 1.5",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД17,"Проверить появление ошибки 400 при отсутствие всех обязательных тегов со значениями:

<InputModel>

</InputModel>",Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД18,Проверить появление ошибки 400 при пустом теле запроса,Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
,,,
НД19,Проверить появление ошибки 400 при слишком длинном значении (напр. 1000000000000000000),Код и статус ответа 400 Bad Request,FAILED
,,,
,,,
,,Ошибок в структуре ответа нет,FAILED
